topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,0
big change,1,1,1,1
big impact,1,1,1,1
bigger impact,1,1,1,1
competitive prices,1,1,1,1
complex customers,1,1,1,1
contract customers,1,1,1,1
entire bundle,1,1,1,1
great question,1,1,1,1
gross profit,1,1,1,1
huge change,1,1,1,1
large customers,2,2,2,2
midsized customers,1,1,1,1
new customers,1,1,1,1
online model,1,1,1,1
overall impact,1,1,1,1
right thing,1,1,1,1
short answer,1,1,1,1
total expectation,1,1,1,1
