topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
appropriate thing,1,1,1,1
best decision,1,1,1,1
charitable contribution,1,1,1,1
clinical health,1,1,1,1
consolidated operating,0,1,1,1
enhanced productivity,1,1,1,1
fair way,1,1,1,1
faster pace,1,1,1,0
financial performance,0,1,1,1
good benefits,1,1,1,1
good results,1,1,1,1
higher compensation,1,1,1,0
incremental dollars,1,1,1,0
lower mail,1,1,1,0
meaningful portion,1,1,1,0
medical claims,1,1,1,0
medical cost,1,1,1,0
medical utilization,1,1,1,0
national basis,1,1,1,1
open enrollment,0,1,1,1
previous expectation,0,1,1,1
previous guidance,0,1,1,1
prior period,1,1,1,0
right level,1,1,1,1
right time,1,1,1,1
successful plan,1,1,1,0
tax earnings,0,1,1,1
tax guidance,0,1,1,1
tax income,0,1,1,1
tax target,0,1,1,1
usual cost,0,1,1,1
